model,task,cv_type,fold,doctor_trials,f1,precision,recall,accuracy
inceptiontime,lump_binary,plain,0,6,0.9194078947368421,0.9016129032258065,0.9379194630872483,0.9175084175084175
inceptiontime,lump_binary,plain,1,6,0.9243840271877655,0.9347079037800687,0.9142857142857143,0.9250210614995787
inceptiontime,lump_binary,plain,2,6,0.9226932668329177,0.912828947368421,0.9327731092436975,0.9216512215669755
inceptiontime,lump_binary,plain,3,6,0.9208510638297872,0.9327586206896552,0.9092436974789916,0.9216512215669755
inceptiontime,lump_binary,plain,4,6,0.9342327150084317,0.937394247038917,0.9310924369747899,0.9342881213142376
inceptiontime,lump_binary,plain,0,7,0.9271844660194175,0.8995290423861853,0.9565943238731218,0.924433249370277
inceptiontime,lump_binary,plain,1,7,0.9277504105090312,0.9127625201938611,0.9432387312186978,0.926112510495382
inceptiontime,lump_binary,plain,2,7,0.9092436974789916,0.9138513513513513,0.9046822742474916,0.9092436974789916
inceptiontime,lump_binary,plain,3,7,0.9126530612244897,0.8915470494417863,0.9347826086956522,0.9100840336134454
inceptiontime,lump_binary,plain,4,7,0.9339853300733496,0.9109697933227345,0.9581939799331104,0.9319327731092437
inceptiontime,lump_binary,plain,0,8,0.927487352445194,0.9417808219178082,0.9136212624584718,0.9279731993299832
inceptiontime,lump_binary,plain,1,8,0.919446704637917,0.9011164274322169,0.9385382059800664,0.9170854271356784
inceptiontime,lump_binary,plain,2,8,0.9354304635761589,0.9323432343234324,0.9385382059800664,0.9346733668341709
inceptiontime,lump_binary,plain,3,8,0.9124579124579124,0.9233390119250426,0.9018302828618968,0.9128248113998324
inceptiontime,lump_binary,plain,4,8,0.9227013832384052,0.9028662420382165,0.9434276206322796,0.9203688181056161
inceptiontime,lump_binary,plain,0,9,0.921681780708986,0.9194078947368421,0.9239669421487603,0.9206349206349206
inceptiontime,lump_binary,plain,1,9,0.913917940466613,0.890282131661442,0.9388429752066115,0.910609857978279
inceptiontime,lump_binary,plain,2,9,0.9304635761589404,0.9320066334991708,0.9289256198347108,0.9298245614035088
inceptiontime,lump_binary,plain,3,9,0.9215844785772029,0.9018987341772152,0.9421487603305785,0.9189640768588136
inceptiontime,lump_binary,plain,4,9,0.9317073170731708,0.9153354632587859,0.9486754966887417,0.9297658862876255
inceptiontime,lump_binary,plain,0,10,0.9276807980049875,0.9331103678929766,0.9223140495867769,0.9275
inceptiontime,lump_binary,plain,1,10,0.920164609053498,0.9163934426229509,0.9239669421487603,0.9191666666666667
inceptiontime,lump_binary,plain,2,10,0.9355102040816327,0.9241935483870968,0.947107438016529,0.9341666666666667
inceptiontime,lump_binary,plain,3,10,0.915702479338843,0.915702479338843,0.915702479338843,0.915
inceptiontime,lump_binary,plain,4,10,0.9301561216105176,0.9233278955954323,0.9370860927152318,0.9291666666666667
inceptiontime,lump_binary,plain,0,11,0.9176658673061551,0.8885448916408669,0.9487603305785124,0.9144518272425249
inceptiontime,lump_binary,plain,1,11,0.9098428453267163,0.9105960264900662,0.9090909090909091,0.9093931837073982
